配置,年化,夏普,最大回撤,波动,年换手,年交易笔数,单笔均额,成本年化拖累,累计成本元,夏普前半,夏普后半,期末资金
European-120日-带10%,0.0308995034942523,0.3890825156384197,-0.16994181264728536,0.10197367348955075,8.946039066832038,204.44810126582277,8751.403423600816,0.00681508524235845,13293.623065341175,0.47970901270383864,0.28745047401950946,269110.10690895683
European-40日-带20%,0.028228372721089245,0.3841489148391339,-0.16399000272988784,0.10658621734409562,14.638845367340094,193.8873417721519,15100.362131472244,0.007623713452190569,14870.947227729754,0.5874796924974348,0.22729140567159953,262386.0541998247
American-250/20-w2,0.03584125762534951,0.37977129095392287,-0.1987093077828591,0.10747316133283494,1.3973991928818275,7.997468354430379,34946.038695050454,0.00047596431097511024,928.4242115316965,0.4922023593041469,0.25448019438470054,281958.9896647823
European-60日-带0%,0.027151444434954985,0.37648873137924244,-0.17686512844313818,0.1045676737796189,15.982837691706882,533.4721518987342,5992.004506634794,0.016374071733966416,31939.547332922146,0.5352955857238634,0.22634774434968757,259718.02783437943
American-250/50-w2,0.034320276320553234,0.3730784253508762,-0.16526317404814783,0.10296491954956542,0.9533808227746271,5.639240506329114,33812.38383802269,0.00034040091409826034,663.9919065126561,0.5006331250006448,0.23688618002896486,277946.91133619525
European-20日-带10%,0.022335247101310518,0.3632899478097148,-0.18914155007942524,0.10185216178798877,25.144818904059566,415.8683544303797,12092.682040450396,0.015342678521601337,29927.693906333476,0.5525593744149959,0.225187256600741,248081.6339229717
European-40日-带0%,0.02392470672986846,0.3586106030965809,-0.1750939400528232,0.10518892485537933,19.1191692313064,562.5911392405063,6796.825579982341,0.017747695452009535,34618.96149898157,0.5153966423664741,0.22755575806839698,251869.1088438423
American-100/20-w0.5,0.03547218053687273,0.34069238913023986,-0.3204762998770925,0.11728323439691872,2.4521062821402007,12.71392405063291,38573.55561311746,0.0008051000547850742,1570.4420821733547,0.5346880397784773,0.12866500138958725,280980.68356887077
American-100/20-w1,0.03202984893559324,0.3406437462111859,-0.2583081031815202,0.10720116723046483,2.3796355947255043,12.50886075949367,38047.199348980954,0.0007810751871338287,1523.5787600882093,0.5094659998892749,0.1392872569115854,272001.7980359942
European-20日-带0%,0.017969725595215813,0.3293444875767459,-0.19818355592203374,0.10015700165600529,26.11033601355246,627.5962025316455,8320.743786602465,0.02087457890244456,40718.31440229927,0.48036951177042864,0.21612069487685767,237940.72248017217
European-120日-带0%,0.02386880370101907,0.32536449369870535,-0.18761996817039628,0.10302164932367963,10.928088323728842,509.27468354430374,4291.628340004914,0.014829593156312245,28926.860724658454,0.39305537635515675,0.25001244840868947,251735.0237426916
American-40/10-w0.5,0.03509743347759886,0.3171841746816259,-0.2791673987328024,0.1285514587840852,3.51514193515212,19.378481012658227,36278.81806480078,0.0011823568595461173,2306.325726028229,0.41147048268135494,0.23823932504003267,279990.466177436
European-10日-带20%,0.015171958559420995,0.3037331438194024,-0.2229028940742972,0.09518816393828115,32.029943510934096,381.0075949367088,16813.283481267485,0.015951124201334575,31114.53856556621,0.44660895145013313,0.20483814873314946,231638.85341438063
买入持有,0.03464153532143932,0.28922977161235885,-0.403342294757182,0.19776348693291862,0.10253164556962024,0.5126582278481012,40000.0,3.6342974597764185e-05,70.89123440057705,0.45597563518609874,0.12706273605878715,278790.04148996127
European-10日-带35%,0.012749503539938978,0.28915600734323216,-0.23756445761893907,0.09470029955527451,25.83520893887735,246.5886075949367,20954.097750789875,0.011291131069774129,22024.675420053238,0.3755394863881689,0.2361619352705567,226303.80553250213
