layer,code,name,n_obs,phi,d_gph,d_t,mu_z_an,best_span,best_srnet,sigma_ann,phi_t,phi_h1,phi_h2,phi_raw,acf_sum_20,d_se,c_norm_bp,sr_5,srnet_5,cbe_5,sr_10,srnet_10,cbe_10,sr_20,srnet_20,cbe_20,sr_40,srnet_40,cbe_40,sr_60,srnet_60,cbe_60,sr_90,srnet_90,cbe_90,sr_120,srnet_120,cbe_120,sr_180,srnet_180,cbe_180,sr_250,srnet_250,cbe_250,sr_375,srnet_375,cbe_375,cbe_real_bp,cost_headroom
stock,600249.SH,两面针,2472,0.016028793593869165,-0.06136043509515577,-0.5884419575089506,0.216903036535572,5,-0.259196379767065,0.40882147253579215,0.7969389800436774,0.018223249324361597,0.013835383449204014,0.020786579374262936,-0.0405306597580377,0.10427610457098047,8.805799699488196,-0.11887137161536618,-0.259196379767065,-3.0496127771658177,-0.2673483372196956,-0.37281146861877235,-9.125976075458436,-0.3535578822418002,-0.4317137482451517,-16.28551305433555,-0.4438876514082259,-0.5020697776308931,-27.465403016623515,-0.4870262196035735,-0.5362260947239665,-35.63615530085226,-0.5117085758950844,-0.5534102844011937,-44.17447004485277,-0.5146031656644893,-0.5516828566333297,-49.96188878566847,-0.4982453929964577,-0.5295899437457715,-57.22472876171349,-0.47053610061205825,-0.4977977034348399,-62.1361103826164,-0.4217496375888602,-0.4445408931168476,-66.61759785262575,-3.0496127771658177,-0.8471146603238382
stock,600250.SH,南京商旅,2429,0.05911057687240855,-0.11148264988294841,-1.0691034351990754,0.2596617494093878,5,0.6753518087378119,0.4992003053599094,2.9132580497272964,0.07881676753673258,0.03693489493982089,0.07699082892672851,0.024777583473380972,0.10427676706715425,7.211534050253638,0.7843188654693071,0.6753518087378119,25.911940731288958,0.49532999234900904,0.41480562903029305,22.144701292434466,0.22960919162082194,0.1704885151837797,13.981455214153378,-0.02216639394369237,-0.06601911392364831,-1.8197051000204048,-0.13598159824776654,-0.1729840142920055,-13.2297781071022,-0.205295347862903,-0.23646574148704108,-23.710424103663755,-0.2224393286439701,-0.24989810074306412,-29.163051436838032,-0.19976367320351401,-0.2223944565100531,-31.777478215915536,-0.14801510276180346,-0.16702928470793932,-28.024049178238865,-0.0639295496903896,-0.07892963849912579,-15.343001086191114,25.911940731288958,7.197761314246932
stock,600251.SH,冠农股份,2474,-0.01471289252526022,-0.18789481755187973,-1.8018976863175213,0.32463178788050756,375,-0.32222248396768005,0.3821118302260737,-0.731809276233698,-0.014341047714845326,-0.015260520062057564,-0.029118557309783116,-0.1678904623190165,0.10427607459548613,9.42132568329561,-0.2840212468617159,-0.43552767079764176,-6.748733566139722,-0.32450033819905955,-0.43789074125622796,-10.302469927085795,-0.44795852951915177,-0.5326263380784655,-19.04679870318376,-0.5504268593477226,-0.6139684547994972,-31.18487471967404,-0.5575488516037065,-0.6110762833297329,-37.49807904191687,-0.5264623757361998,-0.5712640308577541,-42.30344944864544,-0.4872882613259021,-0.5265826583828882,-44.64345739239085,-0.41826381318380174,-0.45068846258669615,-46.43842740601155,-0.360893746850889,-0.3885204784183407,-47.02754958512238,-0.29957515202538204,-0.32222248396768005,-47.62020312322689,-47.62020312322689,-13.227834200896357
stock,600252.SH,中恒集团,2473,-0.00015045430845981453,-0.08548999848115696,-0.8198427734516648,-0.1321805163409277,10,0.14808833332590463,0.299784173565271,-0.007481982482208928,0.017058127887948252,-0.02525355033386791,-0.02807814042951141,0.017643516478553254,0.10427608957413975,12.008639272667223,0.278629543718249,0.09158286841309274,5.362652694838064,0.2848537480520318,0.14808833332590463,7.498046893220965,0.17576368884824164,0.07656636017109499,6.378692735900706,0.02946252841394018,-0.04283367848880694,1.4670908313746458,-0.04866426163477397,-0.10899454072660311,-2.90387090068863,-0.1311488139716681,-0.18192243796658492,-9.29883851397476,-0.19497697495689906,-0.2402768352992917,-15.49490670698529,-0.28657240111217325,-0.32568017927990817,-26.379934947441598,-0.354700538086893,-0.389817014297028,-36.36247354295423,-0.4251278179143888,-0.45627487415916124,-49.13659038801346,7.498046893220965,2.0827908036724905
stock,600255.SH,鑫科材料,2211,0.05630443355761465,-0.0016483624719697927,-0.015424853215607411,0.22931151431747157,5,0.820661772594817,0.45700465546717556,2.6475060728461295,0.10310510358974721,0.006597681826124381,0.050446678663365864,0.14034485857587622,0.10686406210348383,7.877381459757516,0.9385799282317219,0.820661772594817,28.65451654483568,0.8577179712991863,0.7727044021426361,36.32108059115834,0.6926937793760082,0.6321107445224035,41.16164883088969,0.4866433226988821,0.44334178169763777,40.45851305073949,0.3952067384479258,0.3597107186966,40.08179701216762,0.34071060299169065,0.3118182236646641,42.452653583387544,0.3183909664700905,0.29354297727440953,46.12878210247918,0.2928558102451148,0.2728269830182318,52.638175213141686,0.2624443027752497,0.24555714305588133,55.94780328318214,0.19961978890638382,0.185698852427087,51.6223345413384,28.65451654483568,7.959587929121022
stock,600256.SH,广汇能源,2461,0.014950546506273931,-0.23979906212388238,-2.2996513052350984,0.33721759600583207,5,0.25496643978147204,0.37821761853966906,0.7416736932762513,0.02291465761151954,0.006546152133783446,0.003820243095274517,0.009342997986484993,0.10427627074504114,9.518329722184575,0.40209334311198486,0.25496643978147204,9.838690290050703,0.3508017972075574,0.2431008265917728,11.725859690275794,0.2521582514861721,0.17438200171127283,11.671554079522926,0.08873527156759888,0.03212220304301064,5.642636690936713,-0.012603260777945737,-0.059985086322798156,-0.9575768404629115,-0.0804001994252281,-0.12002090896151264,-7.30528860584266,-0.09866663588886977,-0.13337804762224098,-10.2329427546286,-0.09268059201290581,-0.1212121442663447,-11.694075677436937,-0.08072197968391231,-0.10497799047536312,-11.980499570214075,-0.0776441708472447,-0.09760842357868399,-14.0009755842201,9.838690290050703,2.732969525014084
stock,600257.SH,大湖股份,2329,0.034176985745705143,0.1355069721567383,1.2838477768341725,0.0868258892498784,5,0.4802080366386495,0.4784642701562214,1.649371559112169,0.08227589311834237,-0.015937751269549997,0.05078742699634049,0.12629177649252302,0.1055475381130336,7.524072798214544,0.595230602251004,0.4802080366386495,18.62965024902431,0.5119848118908188,0.4280806131076004,21.967259678732475,0.42417759826913937,0.36410915855959464,25.421658380886136,0.32177291588161266,0.2790260465173471,27.098651068519167,0.2665733871679077,0.23157733614859694,27.42207094380241,0.23158952847448436,0.20306598412950255,29.229267317714026,0.2179380617858602,0.1933553424704998,31.91579468341636,0.20448695611827503,0.18461777513025635,37.049994283594195,0.19328702171312567,0.1765835083058039,41.6578992215041,0.17786599672444053,0.16438770057100244,47.50730959748582,18.62965024902431,5.174902846951197
stock,600258.SH,首旅酒店,2469,-0.019618254965241833,-0.05130837586975807,-0.4920432527637412,0.2597131101425213,375,-0.2880169075142755,0.4092274186629229,-0.9748121182765278,-0.016440126905235452,-0.02413844452737871,-0.00479202178164933,-0.09828057168604731,0.10427614967091973,8.79706450697354,-0.4651661440635057,-0.6080949676185293,-11.716307998462934,-0.529432347679814,-0.6372874013872929,-17.67146170838322,-0.5565679763666516,-0.6367978174047544,-24.973808859578487,-0.6031720328400316,-0.6631243288984224,-36.219118549008535,-0.6097932284753531,-0.6604119690602265,-43.368436218408995,-0.5709771282611152,-0.6133696335651184,-48.48776091433098,-0.5154018917531891,-0.5524519991049268,-50.07939093662179,-0.417354166765704,-0.4476227924110009,-49.63803173501504,-0.341490964013115,-0.3670430764126054,-48.11216588385591,-0.26728001523823885,-0.2880169075142755,-46.40078378425002,-46.40078378425002,-12.889106606736116
stock,600259.SH,中稀有色,2472,0.01115618519654577,-0.10855781776931436,-1.0410613075349333,0.14867990909703116,5,0.15593934819053437,0.4969395967477016,0.5546767321973745,0.021549585077577045,-0.0020203189575995917,0.00011784381959763517,0.007139667108752053,0.10427610457098047,7.2443412108046115,0.26883978930550834,0.15593934819053437,8.57236014263427,0.20692978771015005,0.12383054205990035,8.964548714339644,0.15043061249443607,0.09038194923705449,9.018522238517923,0.05261295053339272,0.00919971618102465,4.362877466877383,-0.004693558421305463,-0.04069907128350261,-0.4692839782998882,-0.030133193855665617,-0.05984659719241524,-3.650860746275688,-0.024336192718496224,-0.05008905768398029,-3.4019630011654374,0.004977544782030775,-0.01585642215558225,0.8600935803041941,0.029910392774969777,0.012446635286482276,6.165764387238804,0.04228422030525106,0.02817292499264769,10.787329563073287,8.57236014263427,2.3812111507317417
stock,600261.SH,阳光照明,2474,-0.002019590166049835,0.03595358125560355,0.34479223920805224,-0.04996940935194987,250,0.18102215911466596,0.2939844431575045,-0.10045304247061938,-0.006201101901732737,0.002166267723600609,-0.03074674625485224,0.036978228718226806,0.10427607459548613,12.245545925269493,0.0413808427799689,-0.15201258144563287,0.7703004101840968,0.03343740250381142,-0.10929646563002496,0.8433502895111775,0.035948246912870976,-0.06716435155442677,1.2550715510033352,0.045964760553203164,-0.027521802562662824,2.2517468633092896,0.07102919115131821,0.011278286127989284,4.279518244031768,0.1184520641886529,0.07041904151844322,8.87779713566981,0.15854631469768832,0.11769989673836773,13.973483145574994,0.20096733595708505,0.1685805985647329,22.33884817358449,0.20800720236897274,0.18102215911466596,27.749665674847122,0.1787047279525341,0.15677948325558333,29.342296039167778,27.749665674847122,7.708240465235312
