Date,BTC-USD_bh,portfolio_comm_0.0,portfolio_comm_0.0001,portfolio_comm_0.0005
2018-06-26,44618.734694732695,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-27,45083.39772983473,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-28,43225.84319612201,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-29,45531.29276688628,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-30,46891.01652180523,85092.83738743985,85049.63338730476,84876.96111008785
2018-07-01,46757.89863877463,85092.83738743985,85049.63338730476,84876.96111008785
2018-07-02,48429.986243091065,85092.83738743985,85049.63338730476,84876.96111008785
2018-07-03,47810.603567128805,85092.83738743985,85049.63338730476,84876.96111008785
2018-07-04,48308.21625468994,85092.83738743985,85049.63338730476,84876.96111008785
2018-07-05,48612.74669604296,85092.83738743985,85049.63338730476,84876.96111008785
2018-07-06,48864.33459685621,85092.83738743985,85049.63338730476,84876.96111008785
2018-07-07,50207.43693963513,85092.83738743985,85049.63338730476,84876.96111008785
2018-07-08,49599.33065298017,84835.08449212859,84789.90611491719,84609.3572649502
2018-07-09,49364.070992486006,84736.40029252614,84691.27202002749,84510.92342223207
2018-07-10,46348.81311533458,84728.59877879811,84681.40562732259,84492.81850178649
2018-07-11,46822.993508818356,84728.59877879811,84681.40562732259,84492.81850178649
2018-07-12,45608.250369879155,84728.59877879811,84681.40562732259,84492.81850178649
2018-07-13,45675.90513045681,84728.59877879811,84681.40562732259,84492.81850178649
2018-07-14,45954.66147843117,84728.59877879811,84681.40562732259,84492.81850178649
2018-07-15,46566.207171082846,84728.59877879811,84681.40562732259,84492.81850178649
2018-07-16,49364.070992486006,84728.59877879811,84681.40562732259,84492.81850178649
2018-07-17,53605.71665029314,84728.59877879811,84681.40562732259,84492.81850178649
2018-07-18,53969.91828300276,84887.4578447899,84838.08198287772,84640.78768277743
2018-07-19,54673.43054577224,85162.66884770704,85113.13969546862,84915.23283653101
2018-07-20,53848.00528395729,85164.21573125361,85112.54795277354,84906.1103964713
2018-07-21,54325.11739565031,85164.21573125361,85112.54795277354,84906.1103964713
2018-07-22,54319.261109764026,85164.21573125361,85112.54795277354,84906.1103964713
2018-07-23,56461.86445980268,85164.21573125361,85112.54795277354,84906.1103964713
2018-07-24,61683.722950341056,92902.79660611368,92838.00191052671,92579.18016652756
2018-07-25,59905.324808278136,91873.07517108474,91802.0376769729,91518.32519952333
2018-07-26,58222.62223888455,91860.66507758741,91787.40134512339,91494.81096986041
2018-07-27,59785.38535612475,91860.66507758741,91787.40134512339,91494.81096986041
2018-07-28,59984.11294751874,91860.66507758741,91787.40134512339,91494.81096986041
2018-07-29,60176.755435995474,91860.66507758741,91787.40134512339,91494.81096986041
